Spectrum  ,      Observed Wavelength Air (nm)     ,        Ritz  Wavelength Air (nm)   
Fe I      ,         374.34680  ,         374.34677  
Fe I      ,         374.4102   ,         374.410236 
Fe I      ,         374.55610  ,         374.556086 
          ,                    ,                    
Fe I      ,         374.58993  ,         374.589910 
Fe I      ,         374.69267  ,         374.692683 
Fe I      ,         374.82619  ,         374.826189 
Fe II     ,         374.8489   ,         374.84870  
Fe I      ,         374.89643  ,         374.896457 
          ,                    ,                    
Fe I      ,         374.94851  ,         374.948483 
Fe I      ,         375.36107  ,         375.361052 
Fe I      ,         375.44999  ,         375.450034 
Fe I      ,         375.69371  ,         375.69371  
Fe I      ,         375.74544  ,         375.74538  
          ,                    ,                    
Fe I      ,         375.82327  ,         375.823267 
Fe I      ,         375.91545  ,         375.91544  
Fe II     ,         375.9460   ,         375.94624  
Fe I      ,         376.00494  ,         376.00494  
Fe I      ,         376.05316  ,         376.053169 
          ,                    ,                    
Fe I      ,         376.14083  ,         376.140823 
Fe I      ,         376.22034  ,         376.220335 
Fe I      ,         376.37888  ,         376.378864 
Fe I      ,         376.55387  ,         376.55384  
Fe I      ,         376.5700   ,         376.56981  
          ,                    ,                    
Fe I      ,         376.66590  ,         376.665837 
Fe I      ,         376.71915  ,         376.719150 
Fe I      ,         376.80267  ,         376.802670 
Fe I      ,         377.03012  ,         377.030102 
Fe I      ,         377.36913  ,         377.369117 
          ,                    ,                    
Fe I      ,         377.48240  ,         377.482400 
Fe I      ,         377.64545  ,         377.645447 
Fe I      ,         377.83144  ,         377.83145  
Fe I      ,         377.85088  ,         377.850889 
Fe I      ,         377.94535  ,         377.94534  
          ,                    ,                    
Fe I      ,         378.19396  ,         378.19394  
Fe I      ,         378.24487  ,         378.244784 
Fe I      ,         378.57061  ,         378.57060  
Fe I      ,         378.59481  ,         378.59479  
Fe I      ,         378.61491  ,         378.614893 
          ,                    ,                    
Fe I      ,         378.61867  ,         378.618693 
Fe I      ,         378.66766  ,         378.667669 
Fe I      ,         378.71630  ,         378.71636  
Fe I      ,         378.78799  ,         378.787991 
Fe I      ,         378.91758  ,         378.917552 
          ,                    ,                    
Fe I      ,         378.98189  ,         378.981618 
Fe I      ,         379.00927  ,         379.009277 
Fe I      ,         379.06544  ,         379.065368 
Fe I      ,         379.17421  ,         379.174178 
Fe I      ,         379.21542  ,         379.215386 
          ,                    ,                    
Fe I      ,         379.34804  ,         379.348018 
Fe I      ,         379.38714  ,         379.38712  
Fe I      ,         379.43395  ,         379.43392  
Fe I      ,         379.50019  ,         379.500205 
Fe I      ,         379.75146  ,         379.75145  
          ,                    ,                    
Fe I      ,         379.85111  ,         379.851096 
Fe I      ,         379.95473  ,         379.954711 
Fe I      ,         380.16791  ,         380.167922 
Fe I      ,         380.19837  ,         380.198342 
Fe I      ,         380.22786  ,         380.22778  
          ,                    ,                    
Fe I      ,         380.40092  ,         380.400898 
Fe I      ,         380.5342   ,         380.53420  
Fe I      ,         380.62164  ,         380.62165  
Fe I      ,         380.66954  ,         380.66953  
Fe I      ,         380.75366  ,         380.753675 
          ,                    ,                    
Fe I      ,         380.87283  ,         380.872830 
Fe I      ,         380.90396  ,         380.90399  
Fe I      ,         380.95641  ,         380.956388 
Fe I      ,         381.07554  ,         381.07555  
Fe I      ,         381.18907  ,         381.18907  
          ,                    ,                    
Fe I      ,         381.29643  ,         381.296424 
Fe I      ,         381.30578  ,         381.305775 
Fe I      ,         381.36347  ,         381.363450 
Fe I      ,         381.38842  ,         381.38834  
Fe I      ,         381.58400  ,         381.583970 
          ,                    ,                    
Fe I      ,         381.63400  ,         381.634022 
Fe I      ,         381.76392  ,         381.763905 
Fe I      ,         381.94930  ,         381.949263 
Fe I      ,         382.04249  ,         382.042491 
Fe I      ,         382.11776  ,         382.11774  
          ,                    ,                    
Fe I      ,         382.18342  ,         382.183434 
Fe I      ,         382.44435  ,         382.444329 
Fe I      ,         382.58809  ,         382.588058 
Fe I      ,         382.68412  ,         382.684148 
Fe I      ,         382.75713  ,         382.757115 
          ,                    ,                    
Fe I      ,         382.78224  ,         382.782220 
Fe I      ,         382.94516  ,         382.94517  
Fe I      ,         383.07572  ,         383.075697 
Fe I      ,         383.08617  ,         383.086134 
Fe I      ,         383.33079  ,         383.330771 
          ,                    ,                    
Fe I      ,         383.42222  ,         383.422219 
Fe I      ,         383.63301  ,         383.633025 
Fe I      ,         383.71347  ,         383.713423 
Fe I      ,         383.92556  ,         383.92558  
Fe I      ,         384.04372  ,         384.043720 
          ,                    ,                    
Fe I      ,         384.10477  ,         384.104750 
Fe I      ,         384.32565  ,         384.32565  
Fe I      ,         384.51686  ,         384.516842 
Fe I      ,         384.56948  ,         384.569383 
Fe I      ,         384.59849  ,         384.598440 
          ,                    ,                    
Fe I      ,         384.64091  ,         384.64092  
Fe I      ,         384.6800   ,         384.68001  
Fe I      ,         384.99664  ,         384.996631 
Fe I      ,         385.08176  ,         385.081771 
Fe I      ,         385.25724  ,         385.257240 
          ,                    ,                    
Fe I      ,         385.43663  ,         385.436600 
Fe I      ,         385.63713  ,         385.637115 
Fe I      ,         385.92123  ,         385.921236 
Fe I      ,         385.99111  ,         385.991106 
Fe I      ,         386.36903  ,         386.369130 
          ,                    ,                    
Fe I      ,         386.37411  ,         386.374103 
Fe I      ,         386.55228  ,         386.552292 
Fe I      ,         386.72157  ,         386.721579 
Fe I      ,         386.95580  ,         386.955814 
Fe I      ,         387.17477  ,         387.17480  
          ,                    ,                    
Fe I      ,         387.25009  ,         387.250102 
Fe I      ,         387.37603  ,         387.376015 
Fe I      ,         387.80180  ,         387.801779 
Fe I      ,         387.85730  ,         387.857282 
Fe I      ,         387.86707  ,         387.867079 
          ,                    ,                    
Fe I      ,         387.87256  ,         387.87262  
Fe I      ,         388.32797  ,         388.327981 
Fe I      ,         388.43584  ,         388.435819 
Fe I      ,         388.55103  ,         388.551012 
Fe I      ,         388.62820  ,         388.628183 
          ,                    ,                    
Fe I      ,         388.70480  ,         388.704779 
Fe I      ,         388.85132  ,         388.851317 
Fe I      ,         388.88213  ,         388.882145 
Fe I      ,         389.03955  ,         389.039353 
Fe I      ,         389.08402  ,         389.084021 
